####################
# Argentina
# 
# Coaching Staff
# - Head Coach: Alejandro Sabella


####################
# Goal Keepers

Sergio Romero                 ## Monaco
Agustín Orión                 ## Boca Juniors
Mariano Andújar               ## Catania

####################
# Defenders

Ezequiel Garay                ## Benfica
Hugo Campagnaro               ## Internazionale
Pablo Zabaleta                ## Manchester City
Martín Demichelis             ## Manchester City
Marcos Rojo                   ## Sporting
Federico Fernández            ## Napoli
José María Basanta            ## Monterrey

####################
# Midfielders

Fernando Gago                 ## Boca Juniors
Lucas Biglia                  ## Lazio
Ángel di María                ## Real Madrid
Enzo Pérez                    ## Benfica
Maxi Rodríguez                ## Newell's Old Boys
Augusto Fernández             ## Celta Vigo
Javier Mascherano             ## Barcelona
Ricardo Álvarez               ## Internazionale

####################
# Forwards

Gonzalo Higuaín               ## Napoli
Lionel Messi (c)              ## Barcelona
Rodrigo Palacio               ## Internazionale
Sergio Agüero                 ## Manchester City
Ezequiel Lavezzi              ## Paris Saint-Germain
