####################
# Australia
# 
# Coaching Staff
# - Head Coach: Ange Postecoglou


####################
# Goal Keepers

Mathew Ryan                   ## Club Brugge
Mitchell Langerak             ## Borussia Dortmund
Eugene Galeković              ## Adelaide United

####################
# Defenders

Ivan Franjić                  ## Brisbane Roar
Jason Davidson                ## Heracles Almelo
Matthew Špiranović            ## Western Sydney Wanderers
Bailey Wright                 ## Preston North End
Ryan McGowan                  ## Shandong Luneng Taishan
Alex Wilkinson                ## Jeonbuk Hyundai Motors

####################
# Midfielders

Mark Milligan                 ## Melbourne Victory
Oliver Bozanić                ## Luzern
Tommy Oar                     ## Utrecht
James Troisi                  ## Atalanta
Ben Halloran                  ## Fortuna Düsseldorf
Mile Jedinak (c)              ## Crystal Palace
James Holland                 ## Austria Wien
Matt McKay                    ## Brisbane Roar
Dario Vidošić                 ## Sion
Massimo Luongo                ## Swindon Town
Mark Bresciano                ## Al-Gharafa

####################
# Forwards

Tim Cahill                    ## New York Red Bulls
Mathew Leckie                 ## FSV Frankfurt
Adam Taggart                  ## Newcastle Jets
