####################
# Bosnia and Herzegovina
# 
# Coaching Staff
# - Head Coach: Safet Sušić


####################
# Goal Keepers

Asmir Avdukić                 ## Borac Banja Luka
Jasmin Fejzić                 ## VfR Aalen
Asmir Begović                 ## Stoke City

####################
# Defenders

Avdija Vršajević              ## Hajduk Split
Ermin Bičakčić                ## Eintracht Braunschweig
Emir Spahić (c)               ## Bayer Leverkusen
Sead Kolašinac                ## Schalke 04
Ognjen Vranješ                ## Elazığspor
Muhamed Bešić                 ## Ferencváros
Mensur Mujdža                 ## SC Freiburg
Toni Šunjić                   ## Zorya Luhansk

####################
# Midfielders

Miralem Pjanić                ## Roma
Zvjezdan Misimović            ## Guizhou Renhe
Izet Hajrović                 ## Galatasaray
Senad Lulić                   ## Lazio
Senijad Ibričić               ## Kayseri Erciyesspor
Haris Medunjanin              ## Gaziantepspor
Anel Hadžić                   ## Sturm Graz
Tino-Sven Sušić               ## Hajduk Split
Sejad Salihović               ## 1899 Hoffenheim

####################
# Forwards

Vedad Ibišević                ## VfB Stuttgart
Edin Džeko                    ## Manchester City
Edin Višća                    ## İstanbul BB
