####################
# Brazil
# 
# Coaching Staff
# - Head Coach: Luiz Felipe Scolari


####################
# Goal Keepers

Jefferson                     ## Botafogo
Júlio César                   ## Toronto
Victor                        ## Atlético Mineiro

####################
# Defenders

Dani Alves                    ## Barcelona
Thiago Silva (c)              ## Paris Saint-Germain
David Luiz                    ## Chelsea
Marcelo                       ## Real Madrid
Dante                         ## Bayern Munich
Maxwell                       ## Paris Saint-Germain
Henrique                      ## Napoli
Maicon                        ## Roma

####################
# Midfielders

Fernandinho                   ## Manchester City
Paulinho                      ## Tottenham Hotspur
Oscar                         ## Chelsea
Ramires                       ## Chelsea
Luiz Gustavo                  ## VfL Wolfsburg
Hernanes                      ## Internazionale
Willian                       ## Chelsea
Bernard                       ## Shakhtar Donetsk

####################
# Forwards

Hulk                          ## Zenit Saint Petersburg
Fred                          ## Fluminense
Neymar                        ## Barcelona
Jô                            ## Atlético Mineiro
