####################
# Switzerland
# 
# Coaching Staff
# - Head Coach:  Ottmar Hitzfeld


####################
# Goal Keepers

Diego Benaglio                ## VfL Wolfsburg
Yann Sommer                   ## Basel
Roman Bürki                   ## Grasshopper

####################
# Defenders

Stephan Lichtsteiner          ## Juventus
Reto Ziegler                  ## Sassuolo
Philippe Senderos             ## Valencia
Steve von Bergen              ## Young Boys
Michael Lang                  ## Grasshopper
Ricardo Rodríguez             ## VfL Wolfsburg
Johan Djourou                 ## Hamburger SV
Fabian Schär                  ## Basel

####################
# Midfielders

Tranquillo Barnetta           ## Eintracht Frankfurt
Gökhan Inler (c)              ## Napoli
Granit Xhaka                  ## Borussia Mönchengladbach
Valon Behrami                 ## Napoli
Valentin Stocker              ## Basel
Blerim Džemaili               ## Napoli
Gelson Fernandes              ## SC Freiburg
Xherdan Shaqiri               ## Bayern Munich

####################
# Forwards

Haris Seferović               ## Real Sociedad
Mario Gavranović              ## Zürich
Admir Mehmedi                 ## SC Freiburg
Josip Drmić                   ## 1. FC Nürnberg
