####################
# Côte d'Ivoire
# 
# Coaching Staff
# - Head Coach:  Sabri Lamouchi


####################
# Goal Keepers

Boubacar Barry                ## Lokeren
Sayouba Mandé                 ## Stabæk
Sylvain Gbohouo               ## Séwé Sport

####################
# Defenders

Didier Zokora                 ## Trabzonspor
Kolo Touré                    ## Liverpool
Arthur Boka                   ## VfB Stuttgart
Sol Bamba                     ## Trabzonspor
Serge Aurier                  ## Toulouse
Ousmane Viera                 ## Çaykur Rizespor
Constant Djakpa               ## Eintracht Frankfurt
Jean-Daniel Akpa-Akpro        ## Toulouse

####################
# Midfielders

Yaya Touré                    ## Manchester City
Cheick Tioté                  ## Newcastle United
Didier Ya Konan               ## Hannover 96
Serey Die                     ## Basel
Mathis Bolly                  ## Fortuna Düsseldorf
Ismaël Diomande               ## Saint-Étienne

####################
# Forwards

Max Gradel                    ## Saint-Étienne
Didier Drogba                 ## Galatasaray
Salomon Kalou                 ## Lille
Gervinho                      ## Roma
Wilfried Bony                 ## Swansea City
Giovanni Sio                  ## Basel
