####################
# Chile
# 
# Coaching Staff
# - Head Coach:  Jorge Sampaoli


####################
# Goal Keepers

Claudio Bravo (c)             ## Real Sociedad
Cristopher Toselli            ## Universidad Católica
Johnny Herrera                ## Universidad de Chile

####################
# Defenders

Eugenio Mena                  ## Santos
Miiko Albornoz                ## Malmö
José Rojas                    ## Universidad de Chile
Gary Medel                    ## Cardiff City
Gonzalo Jara                  ## Nottingham Forest

####################
# Midfielders

Mauricio Isla                 ## Juventus
Francisco Silva               ## Osasuna
Carlos Carmona                ## Atalanta
Arturo Vidal                  ## Juventus
Jorge Valdívia                ## Palmeiras
Fabián Orellana               ## Celta Vigo
Jean Beausejour               ## Wigan Athletic
Felipe Gutiérrez              ## Twente
José Pedro Fuenzalida         ## Colo-Colo
Charles Aránguiz              ## Internacional
Marcelo Díaz                  ## Basel

####################
# Forwards

Alexis Sánchez                ## Barcelona
Mauricio Pinilla              ## Cagliari
Eduardo Vargas                ## Valencia
Esteban Paredes               ## Colo-Colo
