####################
# Cameroon
# 
# Coaching Staff
# - Head Coach:  Volker Finke


####################
# Goal Keepers

Charles Itandje               ## Konyaspor
Sammy N'Djock                 ## Fethiyespor
Loïc Feudjou                  ## Coton Sport

####################
# Defenders

Nicolas N'Koulou              ## Marseille
Aurélien Chedjou              ## Galatasaray
Henri Bedimo                  ## Lyon
Benoît Assou-Ekotto           ## Queens Park Rangers
Dany Nounkeu                  ## Beşiktaş
Allan Nyom                    ## Granada
Cédric Djeugoué               ## Coton Sport

####################
# Midfielders

Jean Makoun                   ## Rennes
Stéphane Mbia                 ## Sevilla
Alex Song                     ## Barcelona
Landry N'Guémo                ## Bordeaux
Eyong Enoh                    ## Antalyaspor
Joël Matip                    ## Schalke 04
Edgar Salli                   ## Lens

####################
# Forwards

Samuel Eto'o (c)              ## Chelsea
Pierre Webó                   ## Fenerbahçe
Maxim Choupo-Moting           ## Mainz 05
Vincent Aboubakar             ## Lorient
Benjamin Moukandjo            ## Nancy
Fabrice Olinga                ## Zulte Waregem
