####################
# Colombia
# 
# Coaching Staff
# - Head Coach:  José Pékerman


####################
# Goal Keepers

Faryd Mondragón               ## Deportivo Cali
David Ospina                  ## Nice
Camilo Vargas                 ## Santa Fe

####################
# Defenders

Mario Yepes (c)               ## Atalanta
Juan Camilo Zúñiga            ## Napoli
Pablo Armero                  ## West Ham United
Cristián Zapata               ## Milan
Carlos Valdés                 ## San Lorenzo
Santiago Arias                ## PSV
Éder Álvarez Balanta          ## River Plate

####################
# Midfielders

Abel Aguilar                  ## Toulouse
Fredy Guarín                  ## Internazionale
Carlos Sánchez                ## Elche
Aldo Leão Ramírez             ## Morelia
Juan Guillermo Cuadrado       ## Fiorentina
James Rodríguez               ## Monaco
Alexander Mejía               ## Atlético Nacional
Víctor Ibarbo                 ## Cagliari
Juan Fernando Quintero        ## Porto

####################
# Forwards

Teófilo Gutiérrez             ## River Plate
Jackson Martínez              ## Porto
Adrián Ramos                  ## Hertha Berlin
Carlos Bacca                  ## Sevilla
