####################
# Costa Rica
# 
# Coaching Staff
# - Head Coach:  Jorge Luis Pinto


####################
# Goal Keepers

Keylor Navas                  ## Levante
Patrick Pemberton             ## Alajuelense
Daniel Cambronero             ## Herediano

####################
# Defenders

Johnny Acosta                 ## Alajuelense
Giancarlo González            ## Columbus Crew
Michael Umaña                 ## Saprissa
Óscar Duarte                  ## Club Brugge
Heiner Mora                   ## Saprissa
Waylon Francis                ## Columbus Crew
Júnior Díaz                   ## Mainz 05
Cristian Gamboa               ## Rosenborg
Roy Miller                    ## New York Red Bulls

####################
# Midfielders

Celso Borges                  ## AIK
Christian Bolaños             ## Copenhagen
Michael Barrantes             ## Aalesund
Esteban Granados              ## Herediano
Yeltsin Tejeda                ## Saprissa
Diego Calvo                   ## Vålerenga
José Miguel Cubero            ## Herediano

####################
# Forwards

Joel Campbell                 ## Olympiacos
Bryan Ruiz (c)                ## PSV
Randall Brenes                ## Cartaginés
Marco Ureña                   ## Kuban Krasnodar
