####################
# Algeria
# 
# Coaching Staff
# - Head Coach:  Vahid Halilhodžić


####################
# Goal Keepers

Raïs M'Bolhi                  ## CSKA Sofia
Mohamed Zemmamouche           ## USM Alger
Cédric Si Mohamed             ## CS Constantine

####################
# Defenders

Madjid Bougherra (c)          ## Lekhwiya
Rafik Halliche                ## Académica
Djamel Mesbah                 ## Livorno
Carl Medjani                  ## Valenciennes
Essaïd Belkalem               ## Watford
Liassine Cadamuro-Bentaïba    ## Mallorca
Faouzi Ghoulam                ## Napoli
Aïssa Mandi                   ## Reims

####################
# Midfielders

Medhi Lacen                   ## Getafe
Hassan Yebda                  ## Udinese
Mehdi Mostefa                 ## Ajaccio
Sofiane Feghouli              ## Valencia
Saphir Taïder                 ## Internazionale
Abdelmoumene Djabou           ## Club Africain
Yacine Brahimi                ## Granada
Nabil Bentaleb                ## Tottenham Hotspur
Riyad Mahrez                  ## Leicester City

####################
# Forwards

El Arbi Hillel Soudani        ## Dinamo Zagreb
Islam Slimani                 ## Sporting CP
Nabil Ghilas                  ## Porto
