####################
# Ecuador
# 
# Coaching Staff
# - Head Coach:  Reinaldo Rueda


####################
# Goal Keepers

Máximo Banguera               ## Barcelona
Adrián Bone                   ## El Nacional
Alexander Domínguez           ## LDU Quito

####################
# Defenders

Jorge Guagua                  ## Emelec
Frickson Erazo                ## Flamengo
Juan Carlos Paredes           ## Barcelona
Walter Ayoví                  ## Pachuca
Óscar Bagüí                   ## Emelec
Gabriel Achilier              ## Emelec

####################
# Midfielders

Renato Ibarra                 ## Vitesse
Christian Noboa               ## Dynamo Moscow
Jefferson Montero             ## Morelia
Édison Méndez                 ## Santa Fe
Joao Rojas                    ## Cruz Azul
Segundo Castillo              ## Al-Hilal
Michael Arroyo                ## Atlante
Antonio Valencia (c)          ## Manchester United
Luis Saritama                 ## Barcelona
Fidel Martínez                ## Tijuana
Carlos Gruezo                 ## VfB Stuttgart

####################
# Forwards

Felipe Caicedo                ## Al-Jazira
Enner Valencia                ## Pachuca
Jaime Ayoví                   ## Tijuana
