####################
# France
# 
# Coaching Staff
# - Head Coach: Didier Deschamps


####################
# Goal Keepers

Hugo Lloris (c)               ## Tottenham Hotspur
Stéphane Ruffier[33]          ## Saint-Étienne
Mickaël Landreau              ## Bastia

####################
# Defenders

Mathieu Debuchy               ## Newcastle United
Patrice Evra                  ## Manchester United
Raphaël Varane                ## Real Madrid
Mamadou Sakho                 ## Liverpool
Eliaquim Mangala              ## Porto
Bacary Sagna                  ## Arsenal
Lucas Digne                   ## Paris Saint-Germain
Laurent Koscielny             ## Arsenal

####################
# Midfielders

Yohan Cabaye                  ## Paris Saint-Germain
Franck Ribéry                 ## Bayern Munich
Mathieu Valbuena              ## Marseille
Antoine Griezmann             ## Real Sociedad
Rio Mavuba                    ## Lille
Blaise Matuidi                ## Paris Saint-Germain
Moussa Sissoko                ## Newcastle United
Paul Pogba                    ## Juventus
Clément Grenier               ## Lyon

####################
# Forwards

Olivier Giroud                ## Arsenal
Karim Benzema                 ## Real Madrid
Loïc Rémy                     ## Newcastle United
