####################
# Ghana
# 
# Coaching Staff
# - Head Coach: James Kwesi Appiah


####################
# Goal Keepers

Adam Kwarasey                 ## Strømsgodset
Fatau Dauda                   ## Orlando Pirates
Steven Adams                  ## Aduana Stars

####################
# Defenders

Samuel Inkoom                 ## Platanias
Harrison Afful                ## Espérance
John Boye                     ## Rennes
Jonathan Mensah               ## Évian
Daniel Opare                  ## Standard Liège
Rashid Sumaila                ## Mamelodi Sundowns

####################
# Midfielders

Sulley Muntari                ## Milan
Kwadwo Asamoah                ## Juventus
Michael Essien                ## Milan
Emmanuel Agyemang-Badu        ## Udinese
André Ayew                    ## Marseille
Christian Atsu                ## Vitesse
Wakaso Mubarak                ## Rubin Kazan
Mohammed Rabiu                ## Kuban Krasnodar
Albert Adomah                 ## Middlesbrough
Afriyie Acquah                ## Parma

####################
# Forwards

Kevin-Prince Boateng          ## Schalke 04
Asamoah Gyan (c)              ## Al-Ain
Majeed Waris                  ## Valenciennes
Jordan Ayew                   ## Sochaux
