####################
# Greece
# 
# Coaching Staff
# - Head Coach:  Fernando Santos


####################
# Goal Keepers

Orestis Karnezis              ## Granada
Panagiotis Glykos             ## PAOK
Stefanos Kapino               ## Panathinaikos

####################
# Defenders

Giannis Maniatis              ## Olympiacos
Giorgos Tzavellas             ## PAOK
Kostas Manolas                ## Olympiacos
Vangelis Moras                ## Verona
Loukas Vyntra                 ## Levante
Vasilis Torosidis             ## Roma
Sokratis Papastathopoulos     ## Borussia Dortmund
José Holebas                  ## Olympiacos

####################
# Midfielders

Alexandros Tziolis            ## Kayserispor
Panagiotis Kone               ## Bologna
Giorgos Karagounis (c)        ## Fulham
Lazaros Christodoulopoulos    ## Bologna
Giannis Fetfatzidis           ## Genoa
Kostas Katsouranis            ## PAOK
Andreas Samaris               ## Olympiacos
Panagiotis Tachtsidis         ## Torino

####################
# Forwards

Giorgos Samaras               ## Celtic
Kostas Mitroglou              ## Fulham
Dimitris Salpingidis          ## PAOK
Theofanis Gekas               ## Konyaspor
