####################
# Honduras
# 
# Coaching Staff
# - Head Coach:  Luis Fernando Suárez


####################
# Goal Keepers

Luis López                    ## Real España
Noel Valladares (c)           ## Olimpia
Donis Escober                 ## Olimpia

####################
# Defenders

Osman Chávez                  ## Qingdao Jonoon
Maynor Figueroa               ## Hull City
Juan Pablo Montes             ## Motagua
Víctor Bernárdez              ## San Jose Earthquakes
Juan Carlos García            ## Wigan Athletic
Emilio Izaguirre              ## Celtic
Brayan Beckeles               ## Olimpia

####################
# Midfielders

Wilson Palacios               ## Stoke City
Mario Martínez                ## Real España
Edder Delgado[35]             ## Real España
Óscar García                  ## Houston Dynamo
Roger Espinoza                ## Wigan Athletic
Marvin Chávez                 ## Chivas USA
Luis Garrido                  ## Olimpia
Jorge Claros                  ## Motagua
Andy Najar                    ## Anderlecht

####################
# Forwards

Jerry Palacios                ## Alajuelense
Jerry Bengtson                ## New England Revolution
Carlo Costly                  ## Real España
Rony Martínez                 ## Real Sociedad
