####################
# Croatia
# 
# Coaching Staff
# - Head Coach: Niko Kovač


####################
# Goal Keepers

Stipe Pletikosa               ## Rostov
Danijel Subašić               ## Monaco
Oliver Zelenika               ## Lokomotiva

####################
# Defenders

Danijel Pranjić               ## Panathinaikos
Vedran Ćorluka                ## Lokomotiv Moscow
Dejan Lovren                  ## Southampton
Darijo Srna (c)               ## Shakhtar Donetsk
Gordon Schildenfeld           ## Panathinaikos
Šime Vrsaljko                 ## Genoa
Domagoj Vida                  ## Dynamo Kyiv

####################
# Midfielders

Ivan Perišić                  ## VfL Wolfsburg
Ivan Rakitić                  ## Sevilla
Ognjen Vukojević              ## Dynamo Kyiv
Luka Modrić                   ## Real Madrid
Marcelo Brozović              ## Dinamo Zagreb
Ivan Močinić                  ## Rijeka
Sammir                        ## Getafe
Mateo Kovačić                 ## Internazionale

####################
# Forwards

Ante Rebić                    ## Fiorentina
Nikica Jelavić                ## Hull City
Mario Mandžukić               ## Bayern Munich
Ivica Olić                    ## VfL Wolfsburg
Eduardo                       ## Shakhtar Donetsk
