####################
# Iran
# 
# Coaching Staff
# - Head Coach:  Carlos Queiroz


####################
# Goal Keepers

Rahman Ahmadi                 ## Sepahan
Alireza Haghighi              ## Sporting Covilhã
Daniel Davari                 ## Eintracht Braunschweig

####################
# Defenders

Jalal Hosseini                ## Persepolis
Ehsan Hajsafi                 ## Sepahan
Khosro Heydari                ## Esteghlal
Pejman Montazeri              ## Umm Salal
Hossein Mahini                ## Persepolis
Mehrdad Pouladi               ## Persepolis
Hashem Beikzadeh              ## Esteghlal
Amir Hossein Sadeghi          ## Esteghlal
Ahmad Alenemeh                ## Naft Tehran
Steven Beitashour             ## Vancouver Whitecaps

####################
# Midfielders

Javad Nekounam (c)            ## Al-Kuwait
Andranik Teymourian           ## Esteghlal
Masoud Shojaei                ## Las Palmas
Ghasem Haddadifar             ## Zob Ahan
Ashkan Dejagah                ## Fulham
Reza Haghighi                 ## Persepolis
Bakhtiar Rahmani              ## Foolad

####################
# Forwards

Karim Ansarifard              ## Tractor Sazi
Reza Ghoochannejhad           ## Charlton Athletic
Alireza Jahanbakhsh           ## NEC
