####################
# South Korea
# 
# Coaching Staff
# - Head Coach:  2012 friendly match against Lithuania, recognized by the Russian Football Union but not by FIFA,[53][54] is not counted.


####################
# Goal Keepers

Jung Sung-Ryong               ## Suwon Bluewings
Kim Seung-Gyu                 ## Ulsan Hyundai
Lee Bum-Young                 ## Busan I'Park

####################
# Defenders

Kim Chang-Soo                 ## Kashiwa Reysol
Yun Suk-Young                 ## Queens Park Rangers
Kwak Tae-Hwi                  ## Al-Hilal
Kim Young-Gwon                ## Guangzhou Evergrande
Hwang Seok-Ho                 ## Sanfrecce Hiroshima
Lee Yong                      ## Ulsan Hyundai
Hong Jeong-Ho                 ## FC Augsburg
Park Joo-Ho[56]               ## Mainz 05

####################
# Midfielders

Kim Bo-Kyung                  ## Cardiff City
Ha Dae-Sung                   ## Beijing Guoan
Koo Ja-Cheol (c)              ## Mainz 05
Han Kook-Young                ## Kashiwa Reysol
Park Jong-Woo                 ## Guangzhou R&F
Ki Sung-Yueng                 ## Sunderland
Lee Chung-Yong                ## Bolton Wanderers

####################
# Forwards

Son Heung-Min                 ## Bayer Leverkusen
Park Chu-Young                ## Watford
Lee Keun-Ho                   ## Sangju Sangmu
Kim Shin-Wook                 ## Ulsan Hyundai
Ji Dong-Won                   ## FC Augsburg
