####################
# Nigeria
# 
# Coaching Staff
# - Head Coach: Stephen Keshi


####################
# Goal Keepers

Vincent Enyeama (c)           ## Lille
Austin Ejide                  ## Hapoel Be'er Sheva
Chigozie Agbim                ## Gombe United

####################
# Defenders

Joseph Yobo                   ## Norwich City
Uwa Elderson Echiéjilé        ## Monaco
Efe Ambrose                   ## Celtic
Godfrey Oboabona              ## Çaykur Rizespor
Azubuike Egwuekwe             ## Warri Wolves
Kenneth Omeruo                ## Middlesbrough
Kunle Odunlami                ## Sunshine Stars
Juwon Oshaniwa                ## Ashdod

####################
# Midfielders

John Obi Mikel                ## Chelsea
Victor Moses                  ## Liverpool
Ogenyi Onazi                  ## Lazio
Reuben Gabriel                ## Waasland-Beveren
Michael Babatunde             ## Volyn Lutsk
Ramon Azeez                   ## Almería

####################
# Forwards

Peter Odemwingie              ## Stoke City
Ahmed Musa                    ## CSKA Moscow
Emmanuel Emenike              ## Fenerbahçe
Uche Nwofor                   ## Heerenveen
Shola Ameobi                  ## Newcastle United
Michael Uchebo                ## Cercle Brugge
