####################
# Russia
# 
# Coaching Staff
# - Head Coach:  Fabio Capello


####################
# Goal Keepers

Igor Akinfeev                 ## CSKA Moscow
Yuri Lodygin                  ## Zenit Saint Petersburg
Sergey Ryzhikov               ## Rubin Kazan

####################
# Defenders

Aleksei Kozlov                ## Dynamo Moscow
Georgi Shchennikov            ## CSKA Moscow
Sergei Ignashevich            ## CSKA Moscow
Andrei Semyonov               ## Terek Grozny
Vladimir Granat               ## Dynamo Moscow
Vasili Berezutski             ## CSKA Moscow
Andrey Yeshchenko             ## Anzhi Makhachkala
Dmitri Kombarov               ## Spartak Moscow

####################
# Midfielders

Igor Denisov                  ## Dynamo Moscow
Denis Glushakov               ## Spartak Moscow
Alan Dzagoev                  ## CSKA Moscow
Roman Shirokov (c)            ## Krasnodar
Oleg Shatov                   ## Zenit Saint Petersburg
Viktor Fayzulin               ## Zenit Saint Petersburg

####################
# Forwards

Yuri Zhirkov                  ## Dynamo Moscow
Aleksandr Kokorin             ## Dynamo Moscow
Aleksandr Kerzhakov           ## Zenit Saint Petersburg
Aleksei Ionov                 ## Dynamo Moscow
Aleksandr Samedov             ## Lokomotiv Moscow
Maksim Kanunnikov             ## Rubin Kazan
