####################
# United States
# 
# Coaching Staff
# - Head Coach:  Jürgen Klinsmann


####################
# Goal Keepers

Tim Howard                    ## Everton
Brad Guzan                    ## Aston Villa
Nick Rimando                  ## Real Salt Lake

####################
# Defenders

DeAndre Yedlin                ## Seattle Sounders FC
Omar Gonzalez                 ## Los Angeles Galaxy
Matt Besler                   ## Sporting Kansas City
John Brooks                   ## Hertha Berlin
DaMarcus Beasley              ## Puebla
Geoff Cameron                 ## Stoke City
Timothy Chandler              ## 1. FC Nürnberg
Fabian Johnson                ## 1899 Hoffenheim

####################
# Midfielders

Michael Bradley               ## Toronto FC
Mikkel Diskerud               ## Rosenborg
Alejandro Bedoya              ## Nantes
Jermaine Jones                ## Beşiktaş
Brad Davis                    ## Houston Dynamo
Kyle Beckerman                ## Real Salt Lake
Julian Green                  ## Bayern Munich
Graham Zusi                   ## Sporting Kansas City

####################
# Forwards

Clint Dempsey (c)             ## Seattle Sounders FC
Aron Jóhannsson               ## AZ
Jozy Altidore                 ## Sunderland
Chris Wondolowski             ## San Jose Earthquakes
