####################
# Uruguay
# 
# Coaching Staff
# - Head Coach: Óscar Tabárez


####################
# Goal Keepers

Fernando Muslera              ## Galatasaray
Rodrigo Muñoz                 ## Libertad
Martín Silva                  ## Vasco da Gama

####################
# Defenders

Diego Lugano (c)              ## West Bromwich Albion
Diego Godín                   ## Atlético Madrid
Sebastián Coates              ## Nacional
Jorge Fucile                  ## Porto
Maxi Pereira                  ## Benfica
José María Giménez            ## Atlético Madrid
Martín Cáceres                ## Juventus

####################
# Midfielders

Walter Gargano                ## Parma
Álvaro Pereira                ## São Paulo
Cristian Rodríguez            ## Atlético Madrid
Nicolás Lodeiro               ## Botafogo
Diego Pérez                   ## Bologna
Egidio Arévalo Ríos           ## Morelia
Gastón Ramírez                ## Southampton
Álvaro González               ## Lazio

####################
# Forwards

Abel Hernández                ## Palermo
Luis Suárez                   ## Liverpool
Diego Forlán                  ## Cerezo Osaka
Christian Stuani              ## Espanyol
Edinson Cavani                ## Paris Saint-Germain
