% Australia
# Goal Keepers
Mathew Ryan                   
Mitchell Langerak             
Eugene Galeković              
# Defenders
Ivan Franjić                  
Jason Davidson                
Matthew Špiranović            
Bailey Wright                 
Ryan McGowan                  
Alex Wilkinson                
# Midfielders
Mark Milligan                 
Oliver Bozanić                
Tommy Oar                     
James Troisi                  
Ben Halloran                  
Mile Jedinak (c)              
James Holland                 
Matt McKay                    
Dario Vidošić                 
Massimo Luongo                
Mark Bresciano                
# Forwards
Tim Cahill                    
Mathew Leckie                 
Adam Taggart                  
