% Bosnia-Herzegovina
# Goal Keepers
Asmir Avdukić                 
Jasmin Fejzić                 
Asmir Begović                 
# Defenders
Avdija Vršajević              
Ermin Bičakčić                
Emir Spahić (c)               
Sead Kolašinac                
Ognjen Vranješ                
Muhamed Bešić                 
Mensur Mujdža                 
Toni Šunjić                   
# Midfielders
Miralem Pjanić                
Zvjezdan Misimović            
Izet Hajrović                 
Senad Lulić                   
Senijad Ibričić               
Haris Medunjanin              
Anel Hadžić                   
Tino-Sven Sušić               
Sejad Salihović               
# Forwards
Vedad Ibišević                
Edin Džeko                    
Edin Višća                    
