% Cameroon
# Goal Keepers
Charles Itandje               
Sammy N'Djock                 
Loïc Feudjou                  
# Defenders
Nicolas N'Koulou              
Aurélien Chedjou              
Henri Bedimo                  
Benoît Assou-Ekotto           
Dany Nounkeu                  
Allan Nyom                    
Cédric Djeugoué               
# Midfielders
Jean Makoun                   
Stéphane Mbia                 
Alex Song                     
Landry N'Guémo                
Eyong Enoh                    
Joël Matip                    
Edgar Salli                   
# Forwards
Samuel Eto'o (c)              
Pierre Webó                   
Maxim Choupo-Moting           
Vincent Aboubakar             
Benjamin Moukandjo            
Fabrice Olinga                
