% Chile
# Goal Keepers
Claudio Bravo (c)             
Cristopher Toselli            
Johnny Herrera                
# Defenders
Eugenio Mena                  
Miiko Albornoz                
José Rojas                    
Gary Medel                    
Gonzalo Jara                  
# Midfielders
Mauricio Isla                 
Francisco Silva               
Carlos Carmona                
Arturo Vidal                  
Jorge Valdívia                
Fabián Orellana               
Jean Beausejour               
Felipe Gutiérrez              
José Pedro Fuenzalida         
Charles Aránguiz              
Marcelo Díaz                  
# Forwards
Alexis Sánchez                
Mauricio Pinilla              
Eduardo Vargas                
Esteban Paredes               
