% Costa Rica
# Goal Keepers
Keylor Navas                  
Patrick Pemberton             
Daniel Cambronero             
# Defenders
Johnny Acosta                 
Giancarlo González            
Michael Umaña                 
Óscar Duarte                  
Heiner Mora                   
Waylon Francis                
Júnior Díaz                   
Cristian Gamboa               
Roy Miller                    
# Midfielders
Celso Borges                  
Christian Bolaños             
Michael Barrantes             
Esteban Granados              
Yeltsin Tejeda                
Diego Calvo                   
José Miguel Cubero            
# Forwards
Joel Campbell                 
Bryan Ruiz (c)                
Randall Brenes                
Marco Ureña                   
