% Côte d'Ivoire
# Goal Keepers
Boubacar Barry                
Sayouba Mandé                 
Sylvain Gbohouo               
# Defenders
Didier Zokora                 
Kolo Touré                    
Arthur Boka                   
Sol Bamba                     
Serge Aurier                  
Ousmane Viera                 
Constant Djakpa               
Jean-Daniel Akpa-Akpro        
# Midfielders
Yaya Touré                    
Cheick Tioté                  
Didier Ya Konan               
Serey Die                     
Mathis Bolly                  
Ismaël Diomande               
# Forwards
Max Gradel                    
Didier Drogba                 
Salomon Kalou                 
Gervinho                      
Wilfried Bony                 
Giovanni Sio                  
