% Germany
# Goal Keepers
Manuel Neuer                  
Ron-Robert Zieler             
Roman Weidenfeller            
# Defenders
Kevin Großkreutz              
Benedikt Höwedes              
Mats Hummels                  
Erik Durm                     
Philipp Lahm (c)              
Per Mertesacker               
Jérôme Boateng                
# Midfielders
Matthias Ginter               
Sami Khedira                  
Bastian Schweinsteiger        
Mesut Özil                    
André Schürrle                
Thomas Müller                 
Julian Draxler                
Toni Kroos                    
Mario Götze                   
Marco Reus                    
Christoph Kramer              
# Forwards
Lukas Podolski                
Miroslav Klose                
