% Ecuador
# Goal Keepers
Máximo Banguera               
Adrián Bone                   
Alexander Domínguez           
# Defenders
Jorge Guagua                  
Frickson Erazo                
Juan Carlos Paredes           
Walter Ayoví                  
Óscar Bagüí                   
Gabriel Achilier              
# Midfielders
Renato Ibarra                 
Christian Noboa               
Jefferson Montero             
Édison Méndez                 
Joao Rojas                    
Segundo Castillo              
Michael Arroyo                
Antonio Valencia (c)          
Luis Saritama                 
Fidel Martínez                
Carlos Gruezo                 
# Forwards
Felipe Caicedo                
Enner Valencia                
Jaime Ayoví                   
