% England
# Goal Keepers
Joe Hart                      
Ben Foster                    
Fraser Forster                
# Defenders
Glen Johnson                  
Leighton Baines               
Gary Cahill                   
Phil Jagielka                 
Chris Smalling                
Phil Jones                    
Luke Shaw                     
# Midfielders
Steven Gerrard (c)            
Jack Wilshere                 
Frank Lampard                 
Jordan Henderson              
Alex Oxlade-Chamberlain       
James Milner                  
Raheem Sterling               
Adam Lallana                  
Ross Barkley                  
# Forwards
Daniel Sturridge              
Wayne Rooney                  
Danny Welbeck                 
Rickie Lambert                
