% France
# Goal Keepers
Hugo Lloris (c)               
Stéphane Ruffier[33]          
Mickaël Landreau              
# Defenders
Mathieu Debuchy               
Patrice Evra                  
Raphaël Varane                
Mamadou Sakho                 
Eliaquim Mangala              
Bacary Sagna                  
Lucas Digne                   
Laurent Koscielny             
# Midfielders
Yohan Cabaye                  
Franck Ribéry                 
Mathieu Valbuena              
Antoine Griezmann             
Rio Mavuba                    
Blaise Matuidi                
Moussa Sissoko                
Paul Pogba                    
Clément Grenier               
# Forwards
Olivier Giroud                
Karim Benzema                 
Loïc Rémy                     
