% Ghana
# Goal Keepers
Adam Kwarasey                 
Fatau Dauda                   
Steven Adams                  
# Defenders
Samuel Inkoom                 
Harrison Afful                
John Boye                     
Jonathan Mensah               
Daniel Opare                  
Rashid Sumaila                
# Midfielders
Sulley Muntari                
Kwadwo Asamoah                
Michael Essien                
Emmanuel Agyemang-Badu        
André Ayew                    
Christian Atsu                
Wakaso Mubarak                
Mohammed Rabiu                
Albert Adomah                 
Afriyie Acquah                
# Forwards
Kevin-Prince Boateng          
Asamoah Gyan (c)              
Majeed Waris                  
Jordan Ayew                   
