% Greece
# Goal Keepers
Orestis Karnezis              
Panagiotis Glykos             
Stefanos Kapino               
# Defenders
Giannis Maniatis              
Giorgos Tzavellas             
Kostas Manolas                
Vangelis Moras                
Loukas Vyntra                 
Vasilis Torosidis             
Sokratis Papastathopoulos     
José Holebas                  
# Midfielders
Alexandros Tziolis            
Panagiotis Kone               
Giorgos Karagounis (c)        
Lazaros Christodoulopoulos    
Giannis Fetfatzidis           
Kostas Katsouranis            
Andreas Samaris               
Panagiotis Tachtsidis         
# Forwards
Giorgos Samaras               
Kostas Mitroglou              
Dimitris Salpingidis          
Theofanis Gekas               
