% Iran
# Goal Keepers
Rahman Ahmadi                 
Alireza Haghighi              
Daniel Davari                 
# Defenders
Jalal Hosseini                
Ehsan Hajsafi                 
Khosro Heydari                
Pejman Montazeri              
Hossein Mahini                
Mehrdad Pouladi               
Hashem Beikzadeh              
Amir Hossein Sadeghi          
Ahmad Alenemeh                
Steven Beitashour             
# Midfielders
Javad Nekounam (c)            
Andranik Teymourian           
Masoud Shojaei                
Ghasem Haddadifar             
Ashkan Dejagah                
Reza Haghighi                 
Bakhtiar Rahmani              
# Forwards
Karim Ansarifard              
Reza Ghoochannejhad           
Alireza Jahanbakhsh           
