% Italy
# Goal Keepers
Gianluigi Buffon (c)          
Salvatore Sirigu              
Mattia Perin                  
# Defenders
Mattia De Sciglio             
Giorgio Chiellini             
Matteo Darmian                
Ignazio Abate                 
Andrea Barzagli               
Leonardo Bonucci              
Gabriel Paletta               
# Midfielders
Thiago Motta                  
Antonio Candreva              
Claudio Marchisio             
Alberto Aquilani              
Daniele De Rossi              
Marco Parolo                  
Andrea Pirlo                  
Marco Verratti                
# Forwards
Mario Balotelli               
Antonio Cassano               
Alessio Cerci                 
Ciro Immobile                 
Lorenzo Insigne               
