% Japan
# Goal Keepers
Eiji Kawashima                
Shusaku Nishikawa             
Shūichi Gonda                 
# Defenders
Atsuto Uchida                 
Gōtoku Sakai                  
Yuto Nagatomo                 
Masato Morishige              
Yasuyuki Konno                
Masahiko Inoha                
Hiroki Sakai                  
Maya Yoshida                  
# Midfielders
Keisuke Honda                 
Yasuhito Endō                 
Hiroshi Kiyotake              
Shinji Kagawa                 
Toshihiro Aoyama              
Hotaru Yamaguchi              
Makoto Hasebe (c)             
# Forwards
Shinji Okazaki                
Yoichiro Kakitani             
Yoshito Ōkubo                 
Yuya Osako                    
Manabu Saitō                  
