% Nigeria
# Goal Keepers
Vincent Enyeama (c)           
Austin Ejide                  
Chigozie Agbim                
# Defenders
Joseph Yobo                   
Uwa Elderson Echiéjilé        
Efe Ambrose                   
Godfrey Oboabona              
Azubuike Egwuekwe             
Kenneth Omeruo                
Kunle Odunlami                
Juwon Oshaniwa                
# Midfielders
John Obi Mikel                
Victor Moses                  
Ogenyi Onazi                  
Reuben Gabriel                
Michael Babatunde             
Ramon Azeez                   
# Forwards
Peter Odemwingie              
Ahmed Musa                    
Emmanuel Emenike              
Uche Nwofor                   
Shola Ameobi                  
Michael Uchebo                
