% Russia
# Goal Keepers
Igor Akinfeev                 
Yuri Lodygin                  
Sergey Ryzhikov               
# Defenders
Aleksei Kozlov                
Georgi Shchennikov            
Sergei Ignashevich            
Andrei Semyonov               
Vladimir Granat               
Vasili Berezutski             
Andrey Yeshchenko             
Dmitri Kombarov               
# Midfielders
Igor Denisov                  
Denis Glushakov               
Alan Dzagoev                  
Roman Shirokov (c)            
Oleg Shatov                   
Viktor Fayzulin               
# Forwards
Yuri Zhirkov                  
Aleksandr Kokorin             
Aleksandr Kerzhakov           
Aleksei Ionov                 
Aleksandr Samedov             
Maksim Kanunnikov             
