% South Korea
# Goal Keepers
Jung Sung-Ryong               
Kim Seung-Gyu                 
Lee Bum-Young                 
# Defenders
Kim Chang-Soo                 
Yun Suk-Young                 
Kwak Tae-Hwi                  
Kim Young-Gwon                
Hwang Seok-Ho                 
Lee Yong                      
Hong Jeong-Ho                 
Park Joo-Ho[56]               
# Midfielders
Kim Bo-Kyung                  
Ha Dae-Sung                   
Koo Ja-Cheol (c)              
Han Kook-Young                
Park Jong-Woo                 
Ki Sung-Yueng                 
Lee Chung-Yong                
# Forwards
Son Heung-Min                 
Park Chu-Young                
Lee Keun-Ho                   
Kim Shin-Wook                 
Ji Dong-Won                   
