% Switzerland
# Goal Keepers
Diego Benaglio                
Yann Sommer                   
Roman Bürki                   
# Defenders
Stephan Lichtsteiner          
Reto Ziegler                  
Philippe Senderos             
Steve von Bergen              
Michael Lang                  
Ricardo Rodríguez             
Johan Djourou                 
Fabian Schär                  
# Midfielders
Tranquillo Barnetta           
Gökhan Inler (c)              
Granit Xhaka                  
Valon Behrami                 
Valentin Stocker              
Blerim Džemaili               
Gelson Fernandes              
Xherdan Shaqiri               
# Forwards
Haris Seferović               
Mario Gavranović              
Admir Mehmedi                 
Josip Drmić                   
