% United States
# Goal Keepers
Tim Howard                    
Brad Guzan                    
Nick Rimando                  
# Defenders
DeAndre Yedlin                
Omar Gonzalez                 
Matt Besler                   
John Brooks                   
DaMarcus Beasley              
Geoff Cameron                 
Timothy Chandler              
Fabian Johnson                
# Midfielders
Michael Bradley               
Mikkel Diskerud               
Alejandro Bedoya              
Jermaine Jones                
Brad Davis                    
Kyle Beckerman                
Julian Green                  
Graham Zusi                   
# Forwards
Clint Dempsey (c)             
Aron Jóhannsson               
Jozy Altidore                 
Chris Wondolowski             
